name,cls,n,flag,cat,ean,jan,isbn,pref
Dr.'s care,C_英数字のみ,2,中小候補,ペット用品,2,True,False,490
SCYROX,C_英数字のみ,2,中小候補,パソコン・周辺機器,2,False,False,697
Nextorage,C_英数字のみ,2,中小候補,パソコン・周辺機器,2,False,False,081
Bmax,C_英数字のみ,2,中小候補,パソコン・周辺機器,1,False,False,697
ビーイング,B_和名(法人格なし),2,中小候補,DVD,1,True,False,456
シー・エフ・デー販売,B_和名(法人格なし),2,中小候補,パソコン・周辺機器,2,True,False,498
Veoyads,C_英数字のみ,2,中小候補,ホーム＆キッチン,2,False,False,061
Edifier,C_英数字のみ,2,中小候補,家電＆カメラ,3,False,False,087
ホリ,B_和名(法人格なし),2,大手/海外疑い,ゲーム,2,True,False,496
エプソン,B_和名(法人格なし),2,大手/海外疑い,パソコン・周辺機器,2,True,False,498
DEPSTECH,C_英数字のみ,2,中小候補,産業・研究開発用品,0,False,False,
Capitol,C_英数字のみ,2,中小候補,DVD,2,True,False,498
Jabra(ジャブラ),B_和名(法人格なし),2,中小候補,パソコン・周辺機器,2,False,False,570
iWIMIUS,C_英数字のみ,2,中小候補,家電＆カメラ,0,False,False,
Marshall,C_英数字のみ,2,中小候補,家電＆カメラ,2,False,False,734
BACOENG,C_英数字のみ,2,中小候補,車＆バイク,0,False,False,
コムテック(COMTEC),B_和名(法人格なし),2,中小候補,車＆バイク,2,True,False,495
HIKMICRO,C_英数字のみ,2,中小候補,産業・研究開発用品,1,False,False,697
